22	14	0	0	0	18	12	0	20	15	5	31	30	13	23	1	0	0	29	0	8	3	17	6	0	0	0	19	0	0	27	33	32	0	28	0	
12	0	0	0	5	31	30	13	23	1	0	0	0	7	0	3	0	0	25	0	0	0	21	4	0	33	32	0	28	24	0	14	0	0	36	18	
0	0	23	0	26	0	29	0	0	3	0	0	25	35	0	0	0	4	0	33	32	11	28	24	22	14	16	0	36	0	12	10	20	15	0	0	
0	0	8	3	0	0	25	35	2	19	0	4	27	0	32	11	0	24	0	14	16	0	36	0	12	0	0	0	5	0	30	13	0	0	26	34	
25	0	2	19	21	0	0	0	0	11	28	0	0	14	0	9	36	18	12	0	0	0	5	31	30	13	23	0	0	34	29	7	0	0	17	0	
0	0	0	11	28	24	0	0	16	9	36	0	12	10	0	15	5	0	30	13	23	1	0	0	0	0	0	0	0	6	25	35	0	19	21	4	
0	0	0	0	0	0	0	18	12	10	0	0	5	0	30	13	0	0	26	34	29	0	0	0	17	0	25	35	2	19	0	4	0	0	32	11	
0	0	12	10	0	0	5	31	0	13	0	0	26	34	29	0	0	0	0	6	25	0	0	19	21	0	27	0	0	11	28	24	0	14	16	9	
5	0	30	13	0	0	26	34	0	0	8	3	17	6	25	0	0	0	0	4	27	33	0	11	0	24	22	0	16	0	36	18	12	10	0	15	
0	0	29	7	0	3	0	0	25	0	2	19	21	4	27	0	32	0	28	24	22	0	16	0	36	18	12	10	20	0	0	0	0	13	0	0	
0	0	0	35	2	19	21	0	0	0	32	11	0	24	0	0	16	0	0	18	0	0	20	15	0	31	0	13	0	0	26	34	0	0	0	0	
21	0	27	33	0	11	28	0	0	0	16	9	36	18	0	10	20	0	5	0	30	13	23	0	26	34	0	7	0	3	0	0	25	35	0	19	
32	0	0	0	0	0	0	9	36	18	0	10	20	0	5	0	30	0	0	1	0	0	29	0	0	3	0	0	25	0	2	19	0	0	0	33	
16	0	36	18	12	0	0	15	0	0	30	0	23	0	0	34	0	7	8	3	17	0	25	35	0	0	21	4	0	33	32	11	0	24	0	0	
0	0	0	31	0	0	0	1	26	34	29	7	0	3	0	6	25	35	0	0	21	0	0	0	32	0	28	0	22	0	16	0	36	18	12	10	
23	1	26	0	29	7	0	3	17	0	25	35	2	19	21	0	27	0	0	0	0	24	22	0	16	9	36	0	12	0	0	0	0	0	30	0	
0	0	0	0	25	35	0	19	21	0	0	33	32	11	28	0	22	14	0	9	0	18	12	10	20	15	0	0	0	13	23	0	0	0	0	0	
0	0	0	4	27	33	32	0	28	24	22	14	0	9	0	0	0	0	0	15	0	31	0	13	0	0	0	34	0	7	8	0	0	6	0	0	
24	0	14	0	0	36	0	0	10	20	15	0	31	30	0	0	0	26	0	29	7	8	0	17	0	25	0	0	19	0	4	27	33	0	0	0	
0	12	0	20	0	0	31	0	0	23	1	26	34	29	7	8	3	0	6	25	0	0	19	0	4	0	33	32	11	28	24	22	0	0	9	36	
0	30	0	0	1	26	34	29	7	0	0	0	0	0	0	0	19	21	4	27	33	0	11	0	24	22	0	16	9	36	18	12	10	0	15	5	
34	0	0	0	3	17	6	25	0	0	0	21	4	27	0	32	11	0	24	22	14	16	0	36	0	0	0	20	0	5	31	0	0	0	1	26	
0	25	35	2	0	0	4	27	33	32	0	0	0	22	14	0	0	36	18	0	0	20	0	5	31	0	0	0	0	26	0	29	7	0	3	0	
0	27	0	0	0	0	0	22	14	0	0	36	0	0	10	0	0	0	31	0	13	0	1	26	0	29	0	0	0	17	6	0	35	2	19	0	
14	16	0	0	18	0	10	20	15	0	31	0	0	0	1	0	0	0	7	0	3	17	0	0	0	0	19	0	0	27	0	0	0	0	24	22	
10	20	15	0	31	30	13	0	0	0	0	29	0	8	3	0	6	0	35	0	19	21	0	0	33	0	0	0	24	0	14	16	9	0	18	12	
0	0	1	26	0	29	7	8	3	0	6	25	35	0	19	21	0	0	33	32	11	28	24	0	14	16	0	36	18	0	10	0	15	5	0	30	
7	0	0	17	6	0	0	0	0	0	4	0	33	0	11	28	0	0	0	0	0	36	0	12	10	0	0	5	31	0	0	23	1	0	34	29	
0	2	0	21	4	27	33	0	0	0	24	22	0	16	9	0	18	0	0	20	15	0	31	30	13	23	0	26	0	29	7	8	3	0	0	25	
0	0	11	28	0	0	14	16	9	36	18	12	0	0	15	0	0	30	0	23	0	0	34	0	0	8	3	17	6	25	35	2	19	0	4	0	
0	28	24	22	14	0	0	0	18	0	0	20	15	5	0	30	0	0	1	0	0	29	7	8	0	0	0	25	35	0	19	21	0	27	0	32	
9	0	0	0	0	0	15	0	0	0	13	23	1	26	0	29	7	8	3	0	0	25	0	0	19	0	4	27	0	0	11	0	24	22	0	0	
15	5	0	30	0	0	0	26	34	29	7	0	0	17	0	25	0	2	0	0	0	27	33	32	11	28	0	0	14	16	0	0	0	0	10	0	
0	0	0	29	7	8	0	17	0	25	0	2	19	21	4	27	33	32	11	0	24	0	14	0	9	36	0	0	0	20	15	5	0	30	13	0	
3	17	0	25	0	2	19	21	4	27	0	32	0	28	24	22	0	16	9	36	18	0	10	0	15	0	0	30	0	23	1	26	0	0	7	8	
19	0	0	27	0	0	11	0	0	0	0	0	9	36	18	0	10	20	0	0	0	30	0	23	1	26	34	0	7	8	0	17	6	25	0	0	
