0	18	0	0	31	0	0	0	0	0	0	0	46	40	0	0	0	42	32	11	36	0	0	0	1	0	4	0	14	13	0	0	0	17	0	30	0	48	19	0	0	0	0	34	26	0	0	45	35	
8	39	0	2	0	0	0	0	0	15	42	32	11	36	9	0	16	1	28	4	0	0	13	0	5	0	17	7	0	0	48	19	0	44	0	12	0	26	23	0	45	35	33	0	37	47	31	20	0	
0	43	15	0	32	11	0	0	6	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	44	38	0	0	0	0	10	0	35	33	0	37	0	0	0	0	8	0	0	0	49	0	0	
9	6	0	0	0	4	0	14	0	0	0	3	17	0	30	0	0	0	29	44	0	12	0	0	0	10	0	0	0	18	37	47	0	20	27	8	0	0	0	0	0	0	22	0	15	0	0	11	36	
0	0	25	0	3	0	0	0	24	48	19	29	44	0	12	34	0	23	10	0	0	0	18	0	0	0	0	27	0	39	0	2	0	46	0	22	0	0	42	32	0	0	0	0	0	1	28	4	0	
0	0	0	19	29	44	0	0	0	0	23	10	0	35	0	18	37	47	0	20	0	8	0	41	2	0	0	0	22	0	15	42	0	11	0	9	0	0	1	28	4	21	14	13	0	5	3	17	7	
12	34	0	0	0	0	35	33	18	0	0	31	20	0	8	39	41	2	49	0	40	22	0	15	0	32	0	0	9	6	0	0	28	4	21	14	13	0	5	0	17	0	30	24	48	19	0	0	0	
18	37	47	0	20	40	0	39	41	2	0	46	36	8	0	0	42	32	0	21	22	6	0	0	0	0	7	0	0	25	0	0	17	0	0	24	0	0	29	44	35	30	0	0	0	10	45	27	12	
0	0	0	49	46	0	8	43	0	42	32	11	21	22	0	0	1	0	4	0	0	13	25	0	3	0	0	14	24	0	0	0	0	0	30	0	26	23	0	0	27	0	0	0	0	0	20	40	0	
43	15	0	0	0	21	22	6	16	1	0	0	7	0	0	0	5	3	17	0	0	0	48	19	0	44	0	30	34	26	23	0	45	0	12	18	0	0	0	0	0	0	0	41	2	0	46	0	8	
0	16	1	28	4	7	9	13	0	5	0	17	38	14	24	48	19	29	0	35	30	0	26	23	10	45	27	0	0	0	0	31	20	40	0	0	41	0	49	46	0	8	0	15	0	0	11	0	0	
